Level,HP,ATK,CoinsDrop,PWDDrop,SwordRarityDrop
1,500,100,50,2,0
2,1505,351,50,2,0
3,2510,603,52,2,0
4,3515,854,55,2,0
5,4520,1106,58,2,0
6,5525,1357,61,2,0
7,6530,1609,65,2,0
8,7535,1860,68,3,0
9,8540,2112,72,3,0
10,9545,2363,76,3,0
11,10550,2615,80,4,0
12,11555,2866,85,4,0
13,12560,3118,90,4,0
14,13565,3369,95,5,0
15,14570,3621,100,5,0
16,15575,3872,105,6,0
17,16580,4124,111,6,0
18,17585,4375,117,7,0
19,18590,4627,124,7,0
20,19595,4878,131,8,0
21,20601,5130,138,9,Common
22,21606,5381,145,10,Common
23,22611,5633,153,10,Common
24,23616,5884,162,11,Common
25,24621,6136,171,12,Common
26,25626,6387,180,13,Common
27,26631,6639,190,15,Common
28,27636,6890,201,16,Common
29,28641,7142,212,17,Common
30,29646,7393,223,19,Common
31,30651,7645,236,20,Common
32,31656,7896,249,22,Common
33,32661,8148,262,24,Common
34,33666,8400,277,26,Common
35,34671,8651,292,28,Common
36,35676,8903,308,31,Common
37,36681,9154,325,33,Common
38,37686,9406,343,36,Common
39,38691,9657,362,39,Common
40,39696,9909,382,43,Rare
41,40702,10160,403,46,Rare
42,41707,10412,425,50,Rare
43,42712,10663,448,55,Rare
44,43717,10915,473,59,Rare
45,44722,11166,499,64,Rare
46,45727,11418,526,70,Rare
47,46732,11669,555,76,Rare
48,47737,11921,586,82,Rare
49,48742,12172,618,89,Rare
50,49747,12424,652,97,Rare
51,50752,12675,688,105,Rare
52,51757,12927,726,114,Rare
53,52762,13178,766,123,Rare
54,53767,13430,808,134,Rare
55,54772,13681,852,145,Rare
56,55777,13933,899,157,Rare
57,56782,14184,949,170,Rare
58,57787,14436,1001,185,Rare
59,58792,14687,1056,200,Rare
60,59797,14939,1114,217,Rare
61,60803,15190,1175,236,Rare
62,61808,15442,1240,256,Rare
63,62813,15693,1308,277,Rare
64,63818,15945,1380,301,Rare
65,64823,16196,1456,326,Rare
66,65828,16448,1536,353,Rare
67,66833,16700,1620,383,Rare
68,67838,16951,1709,416,Rare
69,68843,17203,1803,451,Rare
70,69848,17454,1903,489,Rare
71,70853,17706,2007,530,Rare
72,71858,17957,2118,574,Rare
73,72863,18209,2234,623,Rare
74,73868,18460,2357,675,Rare
75,74873,18712,2487,732,Rare
76,75878,18963,2623,794,Rare
77,76883,19215,2768,861,Rare
78,77888,19466,2920,933,Rare
79,78893,19718,3080,1012,Rare
80,79898,19969,3250,1097,Rare
81,80904,20221,3428,1190,Rare
82,81909,20472,3617,1290,Rare
83,82914,20724,3816,1399,Rare
84,83919,20975,4025,1517,Rare
85,84924,21227,4247,1645,Rare
86,85929,21478,4480,1783,Rare
87,86934,21730,4727,1933,Rare
88,87939,21981,4987,2096,Rare
89,88944,22233,5261,2273,Rare
90,89949,22484,5550,2464,Rare
91,90954,22736,5855,2672,Rare
92,91959,22987,6177,2897,Rare
93,92964,23239,6517,3141,Rare
94,93969,23490,6875,3406,Rare
95,94974,23742,7253,3693,Rare
96,95979,23993,7652,4004,Rare
97,96984,24245,8072,4341,Rare
98,97989,24496,8516,4707,Rare
99,98994,24748,8984,5103,Rare
100,100000,25000,10000,6000,Rare
