Level,HP,ATK,CoinsDrop,PWDDrop,SwordRarityDrop
1,50,10,50,2,0
2,302,35,50,2,0
3,554,60,52,2,0
4,806,85,55,2,0
5,1058,110,58,2,0
6,1310,135,61,2,0
7,1562,160,65,2,0
8,1814,186,68,3,0
9,2066,211,72,3,0
10,2318,236,76,3,0
11,2570,261,80,4,0
12,2822,286,85,4,0
13,3074,311,90,4,0
14,3326,336,95,5,0
15,3578,362,100,5,0
16,3830,387,105,6,0
17,4082,412,111,6,0
18,4334,437,117,7,0
19,4586,462,124,7,0
20,4838,487,131,8,0
21,5090,513,138,9,Common
22,5342,538,145,10,Common
23,5594,563,153,10,Common
24,5846,588,162,11,Common
25,6098,613,171,12,Common
26,6350,638,180,13,Common
27,6602,663,190,15,Common
28,6854,689,201,16,Common
29,7106,714,212,17,Common
30,7358,739,223,19,Common
31,7610,764,236,20,Common
32,7862,789,249,22,Common
33,8114,814,262,24,Common
34,8366,840,277,26,Common
35,8618,865,292,28,Common
36,8870,890,308,31,Common
37,9122,915,325,33,Common
38,9374,940,343,36,Common
39,9626,965,362,39,Common
40,9878,990,382,43,Rare
41,10130,1016,403,46,Rare
42,10382,1041,425,50,Rare
43,10634,1066,448,55,Rare
44,10886,1091,473,59,Rare
45,11138,1116,499,64,Rare
46,11390,1141,526,70,Rare
47,11642,1166,555,76,Rare
48,11894,1192,586,82,Rare
49,12146,1217,618,89,Rare
50,12398,1242,652,97,Rare
51,12651,1267,688,105,Rare
52,12903,1292,726,114,Rare
53,13155,1317,766,123,Rare
54,13407,1343,808,134,Rare
55,13659,1368,852,145,Rare
56,13911,1393,899,157,Rare
57,14163,1418,949,170,Rare
58,14415,1443,1001,185,Rare
59,14667,1468,1056,200,Rare
60,14919,1493,1114,217,Rare
61,15171,1519,1175,236,Rare
62,15423,1544,1240,256,Rare
63,15675,1569,1308,277,Rare
64,15927,1594,1380,301,Rare
65,16179,1619,1456,326,Rare
66,16431,1644,1536,353,Rare
67,16683,1670,1620,383,Rare
68,16935,1695,1709,416,Rare
69,17187,1720,1803,451,Rare
70,17439,1745,1903,489,Rare
71,17691,1770,2007,530,Rare
72,17943,1795,2118,574,Rare
73,18195,1820,2234,623,Rare
74,18447,1846,2357,675,Rare
75,18699,1871,2487,732,Rare
76,18951,1896,2623,794,Rare
77,19203,1921,2768,861,Rare
78,19455,1946,2920,933,Rare
79,19707,1971,3080,1012,Rare
80,19959,1996,3250,1097,Rare
81,20211,2022,3428,1190,Rare
82,20463,2047,3617,1290,Rare
83,20715,2072,3816,1399,Rare
84,20967,2097,4025,1517,Rare
85,21219,2122,4247,1645,Rare
86,21471,2147,4480,1783,Rare
87,21723,2173,4727,1933,Rare
88,21975,2198,4987,2096,Rare
89,22227,2223,5261,2273,Rare
90,22479,2248,5550,2464,Rare
91,22731,2273,5855,2672,Rare
92,22983,2298,6177,2897,Rare
93,23235,2323,6517,3141,Rare
94,23487,2349,6875,3406,Rare
95,23739,2374,7253,3693,Rare
96,23991,2399,7652,4004,Rare
97,24243,2424,8072,4341,Rare
98,24495,2449,8516,4707,Rare
99,24747,2474,8984,5103,Rare
100,25000,2500,10000,6000,Rare
