Level,HP,DEF,ATK,CritRate,CritDMG,Speed,Exploration,Coins,PWD
1,250,0,5,0,0,0,1,0,0
2,500,505,10,0,0,0,2,100,20
3,750,1010,15,0,0,0,3,108,21
4,1000,1515,20,0,0,0,4,117,23
5,1250,2020,25,0,1,0,5,127,25
6,1500,2525,30,0,1,0,6,137,27
7,1750,3030,35,0,1,0,7,149,29
8,2000,3535,40,0,2,0,8,161,32
9,2250,4040,45,0,2,0,9,174,34
10,2500,4545,50,0,2,0,10,189,37
11,2750,5050,55,1,3,1,11,205,41
12,3000,5555,60,1,3,1,12,222,44
13,3250,6060,65,1,3,1,13,240,48
14,3500,6565,70,1,3,1,14,260,52
15,3750,7070,75,1,4,1,15,282,56
16,4000,7575,80,1,4,1,16,305,61
17,4250,8080,85,1,4,1,17,331,66
18,4500,8585,90,1,5,1,18,358,71
19,4750,9090,95,1,5,1,19,388,77
20,5000,9595,100,1,5,1,20,420,84
21,5250,10101,105,2,6,2,21,455,91
22,5500,10606,110,2,6,2,22,493,98
23,5750,11111,115,2,6,2,23,534,106
24,6000,11616,120,2,6,2,24,579,115
25,6250,12121,125,2,7,2,25,627,125
26,6500,12626,130,2,7,2,26,679,135
27,6750,13131,135,2,7,2,27,735,147
28,7000,13636,140,2,8,2,28,797,159
29,7250,14141,145,2,8,2,29,863,172
30,7500,14646,150,2,8,2,30,935,187
31,7750,15151,155,3,9,3,31,1012,202
32,8000,15656,160,3,9,3,32,1096,219
33,8250,16161,165,3,9,3,33,1188,237
34,8500,16666,170,3,10,3,34,1286,257
35,8750,17171,175,3,10,3,35,1393,278
36,9000,17676,180,3,10,3,36,1509,301
37,9250,18181,185,3,10,3,37,1635,327
38,9500,18686,190,3,11,3,38,1771,354
39,9750,19191,195,3,11,3,39,1918,383
40,10000,19696,200,3,11,3,40,2077,415
41,10250,20202,205,4,12,4,41,2250,450
42,10500,20707,210,4,12,4,42,2437,487
43,10750,21212,215,4,12,4,43,2639,527
44,11000,21717,220,4,13,4,44,2859,571
45,11250,22222,225,4,13,4,45,3096,619
46,11500,22727,230,4,13,4,46,3354,670
47,11750,23232,235,4,13,4,47,3633,726
48,12000,23737,240,4,14,4,48,3935,787
49,12250,24242,245,4,14,4,49,4262,852
50,12500,24747,250,4,14,4,50,4616,923
51,12750,25252,255,5,15,5,51,5000,1000
52,13000,25757,260,5,15,5,52,5415,1083
53,13250,26262,265,5,15,5,53,5865,1173
54,13500,26767,270,5,16,5,54,6353,1270
55,13750,27272,275,5,16,5,55,6881,1376
56,14000,27777,280,5,16,5,56,7453,1490
57,14250,28282,285,5,16,5,57,8072,1614
58,14500,28787,290,5,17,5,58,8743,1748
59,14750,29292,295,5,17,5,59,9470,1894
60,15000,29797,300,5,17,5,60,10257,2051
61,15250,30303,305,6,18,6,61,11109,2221
62,15500,30808,310,6,18,6,62,12032,2406
63,15750,31313,315,6,18,6,63,13032,2606
64,16000,31818,320,6,19,6,64,14116,2823
65,16250,32323,325,6,19,6,65,15289,3057
66,16500,32828,330,6,19,6,66,16560,3312
67,16750,33333,335,6,20,6,67,17936,3587
68,17000,33838,340,6,20,6,68,19427,3885
69,17250,34343,345,6,20,6,69,21041,4208
70,17500,34848,350,6,20,6,70,22790,4558
71,17750,35353,355,7,21,7,71,24684,4936
72,18000,35858,360,7,21,7,72,26736,5347
73,18250,36363,365,7,21,7,73,28958,5791
74,18500,36868,370,7,22,7,74,31365,6273
75,18750,37373,375,7,22,7,75,33971,6794
76,19000,37878,380,7,22,7,76,36795,7359
77,19250,38383,385,7,23,7,77,39853,7970
78,19500,38888,390,7,23,7,78,43165,8633
79,19750,39393,395,7,23,7,79,46753,9350
80,20000,39898,400,7,23,7,80,50638,10127
81,20250,40404,405,8,24,8,81,54847,10969
82,20500,40909,410,8,24,8,82,59405,11881
83,20750,41414,415,8,24,8,83,64343,12868
84,21000,41919,420,8,25,8,84,69690,13938
85,21250,42424,425,8,25,8,85,75482,15096
86,21500,42929,430,8,25,8,86,81756,16351
87,21750,43434,435,8,26,8,87,88550,17710
88,22000,43939,440,8,26,8,88,95910,19182
89,22250,44444,445,8,26,8,89,103881,20776
90,22500,44949,450,8,26,8,90,112515,22503
91,22750,45454,455,9,27,9,91,121866,24373
92,23000,45959,460,9,27,9,92,131994,26398
93,23250,46464,465,9,27,9,93,142965,28593
94,23500,46969,470,9,28,9,94,154847,30969
95,23750,47474,475,9,28,9,95,167716,33543
96,24000,47979,480,9,28,9,96,181655,36331
97,24250,48484,485,9,29,9,97,196753,39350
98,24500,48989,490,9,29,9,98,213105,42621
99,24750,49494,495,9,29,9,99,230816,46163
100,25000,50000,500,10,30,10,100,250000,50000
