Level,HP,DEF,ATK,CritRate,CritDMG,Coins,PWD
1,50,25,5,0,0,0,0
2,100,50,7,0,1,20,2
3,150,75,10,0,2,21,2
4,200,100,13,0,3,24,2
5,250,125,16,1,4,26,2
6,300,150,19,1,5,29,3
7,350,175,22,1,6,31,3
8,400,200,25,1,7,35,3
9,450,225,28,2,8,38,4
10,500,250,31,2,9,42,4
11,550,275,34,2,10,46,5
12,600,300,37,2,11,51,6
13,650,325,40,3,12,56,6
14,700,350,43,3,13,61,7
15,750,375,46,3,14,67,8
16,800,400,49,3,15,74,9
17,850,425,52,4,16,81,10
18,900,450,55,4,17,89,11
19,950,475,58,4,18,98,13
20,1000,500,61,4,19,108,14
21,1050,525,64,5,20,119,16
22,1100,550,67,5,21,131,18
23,1150,575,70,5,22,143,20
24,1200,600,73,5,23,158,22
25,1250,625,76,6,24,173,25
26,1300,650,79,6,25,190,28
27,1350,675,82,6,26,209,31
28,1400,700,85,6,27,230,35
29,1450,725,88,7,28,252,39
30,1500,750,91,7,29,277,44
31,1550,775,94,7,30,305,49
32,1600,800,97,7,31,335,54
33,1650,825,100,8,32,368,61
34,1700,850,103,8,33,404,68
35,1750,875,106,8,34,444,76
36,1800,900,109,8,35,488,85
37,1850,925,112,9,36,536,95
38,1900,950,115,9,37,589,106
39,1950,975,118,9,38,647,118
40,2000,1000,121,9,39,711,132
41,2050,1025,124,10,40,781,148
42,2100,1050,127,10,41,858,165
43,2150,1075,130,10,42,942,184
44,2200,1100,133,10,43,1035,206
45,2250,1125,136,11,44,1137,230
46,2300,1150,139,11,45,1250,257
47,2350,1175,142,11,46,1373,287
48,2400,1200,145,11,47,1508,321
49,2450,1225,148,12,48,1657,358
50,2500,1250,151,12,49,1820,400
51,2550,1275,153,12,50,2000,447
52,2600,1300,156,12,51,2197,499
53,2650,1325,159,13,52,2413,557
54,2700,1350,162,13,53,2651,622
55,2750,1375,165,13,54,2912,695
56,2800,1400,168,13,55,3199,776
57,2850,1425,171,14,56,3515,867
58,2900,1450,174,14,57,3861,968
59,2950,1475,177,14,58,4241,1081
60,3000,1500,180,14,59,4659,1207
61,3050,1525,183,15,60,5119,1348
62,3100,1550,186,15,61,5623,1506
63,3150,1575,189,15,62,6177,1682
64,3200,1600,192,15,63,6786,1878
65,3250,1625,195,16,64,7455,2097
66,3300,1650,198,16,65,8189,2342
67,3350,1675,201,16,66,8996,2616
68,3400,1700,204,16,67,9883,2921
69,3450,1725,207,17,68,10857,3262
70,3500,1750,210,17,69,11927,3643
71,3550,1775,213,17,70,13102,4069
72,3600,1800,216,17,71,14393,4543
73,3650,1825,219,18,72,15812,5074
74,3700,1850,222,18,73,17370,5666
75,3750,1875,225,18,74,19081,6328
76,3800,1900,228,18,75,20962,7066
77,3850,1925,231,19,76,23027,7891
78,3900,1950,234,19,77,25297,8813
79,3950,1975,237,19,78,27789,9841
80,4000,2000,240,19,79,30528,10990
81,4050,2025,243,20,80,33536,12273
82,4100,2050,246,20,81,36841,13706
83,4150,2075,249,20,82,40471,15306
84,4200,2100,252,20,83,44459,17093
85,4250,2125,255,21,84,48841,19088
86,4300,2150,258,21,85,53653,21316
87,4350,2175,261,21,86,58941,23804
88,4400,2200,264,21,87,64749,26583
89,4450,2225,267,22,88,71129,29686
90,4500,2250,270,22,89,78138,33152
91,4550,2275,273,22,90,85838,37022
92,4600,2300,276,22,91,94297,41343
93,4650,2325,279,23,92,103589,46169
94,4700,2350,282,23,93,113797,51559
95,4750,2375,285,23,94,125011,57578
96,4800,2400,288,23,95,137329,64299
97,4850,2425,291,24,96,150862,71804
98,4900,2450,294,24,97,165728,80186
99,4950,2475,297,24,98,182059,89547
100,5000,2500,300,25,100,200000,100000
