Level,ATK,CritRate,CritDMG,Coins,PWD,Steel
1,10,0,0,0,0,0
2,17,0,0,50,2,1
3,24,0,1,54,2,1
4,32,0,1,59,2,1
5,39,1,2,64,2,1
6,47,1,2,70,3,1
7,54,1,3,77,3,1
8,62,1,3,84,3,1
9,69,2,4,91,4,1
10,77,2,4,100,5,1
11,84,2,5,109,5,1
12,92,2,5,119,6,1
13,99,3,6,130,7,2
14,107,3,6,141,7,2
15,114,3,7,154,8,2
16,122,3,7,168,9,2
17,129,4,8,184,11,2
18,137,4,8,200,12,2
19,144,4,9,219,14,2
20,152,4,9,238,15,3
21,159,5,10,260,17,3
22,166,5,10,284,19,3
23,174,5,11,310,22,3
24,181,5,11,338,24,4
25,189,6,12,369,27,4
26,196,6,12,402,31,4
27,204,6,13,439,35,4
28,211,6,13,478,39,5
29,219,7,14,522,44,5
30,226,7,14,569,49,5
31,234,7,15,621,55,6
32,241,7,15,678,62,6
33,249,8,16,739,69,7
34,256,8,16,806,78,7
35,264,8,17,880,87,8
36,271,8,17,960,98,8
37,279,9,18,1047,110,9
38,286,9,18,1142,123,9
39,294,9,19,1246,138,10
40,301,9,19,1359,155,11
41,308,10,20,1482,174,11
42,316,10,20,1617,195,12
43,323,10,21,1763,219,13
44,331,10,21,1924,245,14
45,338,11,22,2098,275,15
46,346,11,22,2289,308,16
47,353,11,23,2497,346,17
48,361,11,23,2724,388,18
49,368,12,24,2971,435,19
50,376,12,24,3241,488,20
51,383,12,25,3535,547,22
52,391,12,25,3856,614,23
53,398,13,26,4206,688,25
54,406,13,26,4588,772,27
55,413,13,27,5005,866,28
56,421,13,27,5459,971,30
57,428,14,28,5955,1089,32
58,436,14,28,6496,1221,34
59,443,14,29,7086,1369,37
60,451,14,29,7729,1535,39
61,458,15,30,8431,1721,42
62,465,15,30,9196,1930,44
63,473,15,31,10032,2165,47
64,480,15,31,10942,2428,50
65,488,16,32,11936,2722,54
66,495,16,32,13020,3053,57
67,503,16,33,14202,3423,61
68,510,16,33,15492,3839,65
69,518,17,34,16898,4305,70
70,525,17,34,18433,4827,74
71,533,17,35,20106,5413,79
72,540,17,35,21932,6070,84
73,548,18,36,23924,6807,90
74,555,18,36,26096,7633,96
75,563,18,37,28465,8559,102
76,570,18,37,31050,9598,109
77,578,19,38,33869,10763,116
78,585,19,38,36945,12069,123
79,593,19,39,40299,13534,132
80,600,19,39,43959,15176,140
81,607,20,40,47950,17018,149
82,615,20,40,52304,19084,159
83,622,20,41,57053,21400,170
84,630,20,41,62233,23997,181
85,637,21,42,67884,26909,193
86,645,21,42,74048,30175,205
87,652,21,43,80771,33837,219
88,660,21,43,88105,37944,233
89,667,22,44,96105,42549,248
90,675,22,44,104832,47712,265
91,682,22,45,114350,53503,282
92,690,22,45,124733,59996,301
93,697,23,46,136059,67277,320
94,705,23,46,148413,75442,341
95,712,23,47,161888,84598,364
96,720,23,47,176588,94865,387
97,727,24,48,192622,106378,413
98,735,24,48,210111,119288,440
99,742,24,49,229189,133765,469
100,750,25,50,250000,150000,500
