Level,HP,DEF,ATK,CritRate,CritDMG,Coins,PWD,Storage
1,100,0,5,0,0,0,0,50
2,301,101,8,0,0,100,5,50
3,502,202,11,0,1,109,5,50
4,703,303,15,0,1,118,6,50
5,904,404,18,1,2,129,7,50
6,1105,505,22,1,2,141,7,50
7,1306,606,25,1,3,154,8,50
8,1507,707,29,1,3,168,9,50
9,1708,808,32,2,4,183,10,50
10,1909,909,36,2,4,200,12,60
11,2110,1010,39,2,5,218,13,60
12,2311,1111,43,2,5,238,15,60
13,2512,1212,46,3,6,260,17,60
14,2713,1313,50,3,6,283,19,60
15,2914,1414,53,3,7,309,21,60
16,3115,1515,57,3,7,337,24,60
17,3316,1616,60,4,8,368,26,60
18,3517,1717,64,4,8,401,30,60
19,3718,1818,67,4,9,438,33,60
20,3919,1919,71,4,9,477,37,80
21,4120,2020,74,5,10,521,42,80
22,4321,2121,78,5,10,568,47,80
23,4522,2222,81,5,11,620,52,80
24,4723,2323,85,5,11,676,59,80
25,4924,2424,88,6,12,738,66,80
26,5125,2525,92,6,12,805,73,80
27,5326,2626,95,6,13,878,82,80
28,5527,2727,99,6,13,957,92,80
29,5728,2828,102,7,14,1044,103,80
30,5929,2929,106,7,14,1139,115,100
31,6130,3030,109,7,15,1243,129,100
32,6331,3131,113,7,15,1356,145,100
33,6532,3232,116,8,16,1479,162,100
34,6733,3333,120,8,16,1613,181,100
35,6934,3434,123,8,17,1760,203,100
36,7135,3535,126,8,17,1920,227,100
37,7336,3636,130,9,18,2094,254,100
38,7537,3737,133,9,18,2284,284,100
39,7738,3838,137,9,19,2492,318,100
40,7939,3939,140,9,19,2718,356,120
41,8140,4040,144,10,20,2965,398,120
42,8341,4141,147,10,20,3234,445,120
43,8542,4242,151,10,21,3527,498,120
44,8743,4343,154,10,21,3848,558,120
45,8944,4444,158,11,22,4197,624,120
46,9145,4545,161,11,22,4578,698,120
47,9346,4646,165,11,23,4994,781,120
48,9547,4747,168,11,23,5448,874,120
49,9748,4848,172,12,24,5942,978,120
50,9949,4949,175,12,24,6482,1094,150
51,10150,5050,179,12,25,7071,1224,150
52,10351,5151,182,12,25,7713,1370,150
53,10552,5252,186,13,26,8413,1533,150
54,10753,5353,189,13,26,9177,1715,150
55,10954,5454,193,13,27,10010,1918,150
56,11155,5555,196,13,27,10919,2146,150
57,11356,5656,200,14,28,11911,2402,150
58,11557,5757,203,14,28,12992,2687,150
59,11758,5858,207,14,29,14172,3006,150
60,11959,5959,210,14,29,15459,3363,180
61,12160,6060,214,15,30,16862,3763,180
62,12361,6161,217,15,30,18393,4210,180
63,12562,6262,221,15,31,20064,4711,180
64,12763,6363,224,15,31,21885,5270,180
65,12964,6464,228,16,32,23873,5897,180
66,13165,6565,231,16,32,26040,6597,180
67,13366,6666,235,16,33,28405,7381,180
68,13567,6767,238,16,33,30984,8258,180
69,13768,6868,241,17,34,33797,9239,180
70,13969,6969,245,17,34,36866,10337,180
71,14170,7070,248,17,35,40213,11565,180
72,14371,7171,252,17,35,43865,12940,180
73,14572,7272,255,18,36,47848,14477,180
74,14773,7373,259,18,36,52192,16197,180
75,14974,7474,262,18,37,56931,18121,180
76,15175,7575,266,18,37,62101,20275,180
77,15376,7676,269,19,38,67739,22683,180
78,15577,7777,273,19,38,73890,25379,180
79,15778,7878,276,19,39,80599,28394,180
80,15979,7979,280,19,39,87918,31767,200
81,16180,8080,283,20,40,95900,35542,200
82,16381,8181,287,20,40,104608,39765,200
83,16582,8282,290,20,41,114106,44489,200
84,16783,8383,294,20,41,124467,49775,200
85,16984,8484,297,21,42,135769,55689,200
86,17185,8585,301,21,42,148096,62305,200
87,17386,8686,304,21,43,161543,69708,200
88,17587,8787,308,21,43,176211,77990,200
89,17788,8888,311,22,44,192211,87256,200
90,17989,8989,315,22,44,209664,97623,200
91,18190,9090,318,22,45,228701,109222,200
92,18391,9191,322,22,45,249467,122199,200
93,18592,9292,325,23,46,272118,136717,200
94,18793,9393,329,23,46,296826,152961,200
95,18994,9494,332,23,47,323777,171134,200
96,19195,9595,336,23,47,353176,191467,200
97,19396,9696,339,24,48,385244,214215,200
98,19597,9797,343,24,48,420223,239666,200
99,19798,9898,346,24,49,458379,268141,200
100,20000,10000,350,25,50,500000,300000,200
