Level,HP,Defense,Attack,Crit Rate,Crit DMG,Speed,Coins,Wood,Steal,Boatswain,Gunner,Navigator,Explorer,Storage
1,1000,0,50,0,0,0,0,0,0,1,0,1,2,10
2,3010,505,84,0,0,0,1000,5,2,1,0,1,2,10
3,5020,1010,119,0,1,1,1057,5,2,1,0,1,2,10
4,7030,1515,154,0,1,1,1119,5,2,1,0,1,2,10
5,9040,2020,189,1,2,2,1184,6,2,1,0,1,2,10
6,11050,2525,224,1,2,2,1252,6,2,1,0,1,2,10
7,13060,3030,259,1,3,3,1325,7,2,1,0,1,2,10
8,15070,3535,293,1,3,3,1402,7,3,1,0,1,2,10
9,17080,4040,328,2,4,4,1483,8,3,1,0,1,2,10
10,19090,4545,363,2,4,4,1569,8,3,1,0,1,2,10
11,21101,5050,398,2,5,5,1660,9,3,1,0,1,2,20
12,23111,5555,433,2,5,5,1756,10,4,1,0,1,2,20
13,25121,6060,468,3,6,6,1858,10,4,1,0,1,2,20
14,27131,6565,503,3,6,6,1966,11,4,1,0,1,2,20
15,29141,7070,537,3,7,7,2080,12,5,1,0,1,2,20
16,31151,7575,572,3,7,7,2200,13,5,1,0,1,2,20
17,33161,8080,607,4,8,8,2328,14,5,1,0,1,2,20
18,35171,8585,642,4,8,8,2463,15,6,1,0,1,2,20
19,37181,9090,677,4,9,9,2605,16,6,1,0,1,2,20
20,39191,9595,712,4,9,9,2757,17,7,1,0,1,2,20
21,41202,10101,746,5,10,10,2916,19,7,1,1,2,3,30
22,43212,10606,781,5,10,10,3085,20,8,1,1,2,3,30
23,45222,11111,816,5,11,11,3264,21,9,1,1,2,3,30
24,47232,11616,851,5,11,11,3453,23,9,1,1,2,3,30
25,49242,12121,886,6,12,12,3654,25,10,1,1,2,3,30
26,51252,12626,921,6,12,12,3865,27,11,1,1,2,3,30
27,53262,13131,956,6,13,13,4089,29,12,1,1,2,3,30
28,55272,13636,990,6,13,13,4327,31,13,1,1,2,3,30
29,57282,14141,1025,7,14,14,4577,33,14,1,1,2,3,30
30,59292,14646,1060,7,14,14,4843,35,15,1,1,2,3,30
31,61303,15151,1095,7,15,15,5123,38,16,1,1,2,3,40
32,63313,15656,1130,7,15,15,5420,41,17,1,1,2,3,40
33,65323,16161,1165,8,16,16,5734,44,19,1,1,2,3,40
34,67333,16666,1200,8,16,16,6067,47,20,1,1,2,3,40
35,69343,17171,1234,8,17,17,6419,51,22,1,1,2,3,40
36,71353,17676,1269,8,17,17,6791,54,23,1,1,2,3,40
37,73363,18181,1304,9,18,18,7184,58,25,1,1,2,3,40
38,75373,18686,1339,9,18,18,7601,63,27,1,1,2,3,40
39,77383,19191,1374,9,19,19,8041,67,29,1,1,2,3,40
